"reason_text","submitted_id","kanali_username","id","created_date","updated_date","created_by_id","created_by","is_sample"
"Δεν βρέθηκε εγγραφή με αυτό το ID","0308474","kanali_a10","6a6e18070638df5f5127d01e","2026-08-01T16:00:07.379000","2026-08-01T16:00:07.379000","service_e26771ba-23cc-4ede-86d3-c06393e82682","service+e26771ba-23cc-4ede-86d3-c06393e82682@no-reply.base44.com","false"
"Δεν βρέθηκε εγγραφή με αυτό το ID","12116","kanali_a10","6a6e13749f5d7d4940967d7c","2026-08-01T15:40:36.207000","2026-08-01T15:40:36.207000","service_e26771ba-23cc-4ede-86d3-c06393e82682","service+e26771ba-23cc-4ede-86d3-c06393e82682@no-reply.base44.com","false"
"Δεν βρέθηκε εγγραφή με αυτό το ID","076831","kanali_a10","6a6e0f20561a810cbebeb447","2026-08-01T15:22:08.627000","2026-08-01T15:22:08.627000","service_e26771ba-23cc-4ede-86d3-c06393e82682","service+e26771ba-23cc-4ede-86d3-c06393e82682@no-reply.base44.com","false"
"Δεν βρέθηκε εγγραφή με αυτό το ID","0905337","kanali_a10","6a6e0e25fd89343e2e04973e","2026-08-01T15:17:57.851000","2026-08-01T15:17:57.851000","service_e26771ba-23cc-4ede-86d3-c06393e82682","service+e26771ba-23cc-4ede-86d3-c06393e82682@no-reply.base44.com","false"
"Δεν βρέθηκε εγγραφή με αυτό το ID","073045","kanali_a10","6a6e0b5a0bb780d594fe5ed9","2026-08-01T15:06:02.925000","2026-08-01T15:06:02.925000","service_e26771ba-23cc-4ede-86d3-c06393e82682","service+e26771ba-23cc-4ede-86d3-c06393e82682@no-reply.base44.com","false"
"Δεν βρέθηκε εγγραφή με αυτό το ID","097523","kanali_a10","6a6e03132e246e36ddc8ab22","2026-08-01T14:30:43.422000","2026-08-01T14:30:43.422000","service_e26771ba-23cc-4ede-86d3-c06393e82682","service+e26771ba-23cc-4ede-86d3-c06393e82682@no-reply.base44.com","false"
"Δεν βρέθηκε εγγραφή με αυτό το ID","097523","kanali_a10","6a6e030a1016adc5311acb00","2026-08-01T14:30:34.771000","2026-08-01T14:30:34.771000","service_e26771ba-23cc-4ede-86d3-c06393e82682","service+e26771ba-23cc-4ede-86d3-c06393e82682@no-reply.base44.com","false"
"Δεν βρέθηκε εγγραφή με αυτό το ID","082727","kanali_a9","6a6e02d27ea8d03f8c297c86","2026-08-01T14:29:38.437000","2026-08-01T14:29:38.437000","service_e26771ba-23cc-4ede-86d3-c06393e82682","service+e26771ba-23cc-4ede-86d3-c06393e82682@no-reply.base44.com","false"
"Δεν βρέθηκε εγγραφή με αυτό το ID","023253","kanali_a10","6a6dfeda5ee16df58be7ac2b","2026-08-01T14:12:42.283000","2026-08-01T14:12:42.283000","service_e26771ba-23cc-4ede-86d3-c06393e82682","service+e26771ba-23cc-4ede-86d3-c06393e82682@no-reply.base44.com","false"
"Δεν βρέθηκε εγγραφή με αυτό το ID","023253","kanali_a10","6a6dfecf75c19e86d4b0b98d","2026-08-01T14:12:31.339000","2026-08-01T14:12:31.339000","service_e26771ba-23cc-4ede-86d3-c06393e82682","service+e26771ba-23cc-4ede-86d3-c06393e82682@no-reply.base44.com","false"
"Δεν βρέθηκε εγγραφή με αυτό το ID","04381","kanali_a10","6a6dfa62aef3eac8b4aa8d1a","2026-08-01T13:53:38.120000","2026-08-01T13:53:38.120000","service_e26771ba-23cc-4ede-86d3-c06393e82682","service+e26771ba-23cc-4ede-86d3-c06393e82682@no-reply.base44.com","false"
"Δεν βρέθηκε εγγραφή με αυτό το ID","40381","kanali_a10","6a6dfa5e8017a6feceb09493","2026-08-01T13:53:34.537000","2026-08-01T13:53:34.537000","service_e26771ba-23cc-4ede-86d3-c06393e82682","service+e26771ba-23cc-4ede-86d3-c06393e82682@no-reply.base44.com","false"
"Δεν βρέθηκε εγγραφή με αυτό το ID","094978","kanali_a10","6a6df89834a1a98ce92f9cbe","2026-08-01T13:46:00.777000","2026-08-01T13:46:00.777000","service_e26771ba-23cc-4ede-86d3-c06393e82682","service+e26771ba-23cc-4ede-86d3-c06393e82682@no-reply.base44.com","false"
"Δεν βρέθηκε εγγραφή με αυτό το ID","0743670","kanali_a10","6a6df7bd71c0cdb90944df21","2026-08-01T13:42:21.833000","2026-08-01T13:42:21.833000","service_e26771ba-23cc-4ede-86d3-c06393e82682","service+e26771ba-23cc-4ede-86d3-c06393e82682@no-reply.base44.com","false"
"Δεν βρέθηκε εγγραφή με αυτό το ID","039214","kanali_a10","6a6df42344f8ed1c83496ecf","2026-08-01T13:26:59.443000","2026-08-01T13:26:59.443000","service_e26771ba-23cc-4ede-86d3-c06393e82682","service+e26771ba-23cc-4ede-86d3-c06393e82682@no-reply.base44.com","false"
"Δεν βρέθηκε εγγραφή με αυτό το ID","09868","kanali_a9","6a6deeefa92cb13e2ac1493f","2026-08-01T13:04:47.808000","2026-08-01T13:04:47.808000","service_e26771ba-23cc-4ede-86d3-c06393e82682","service+e26771ba-23cc-4ede-86d3-c06393e82682@no-reply.base44.com","false"
"Δεν βρέθηκε εγγραφή με αυτό το ID","050325","kanali_a9","6a6deee5d417b9f484263250","2026-08-01T13:04:37.803000","2026-08-01T13:04:37.803000","service_e26771ba-23cc-4ede-86d3-c06393e82682","service+e26771ba-23cc-4ede-86d3-c06393e82682@no-reply.base44.com","false"
"Δεν βρέθηκε εγγραφή με αυτό το ID","033514","kanali_a4","6a6ded7cdce1fd656109204e","2026-08-01T12:58:36.298000","2026-08-01T12:58:36.298000","service_e26771ba-23cc-4ede-86d3-c06393e82682","service+e26771ba-23cc-4ede-86d3-c06393e82682@no-reply.base44.com","false"
"Δεν βρέθηκε εγγραφή με αυτό το ID","33514","kanali_a4","6a6ded73e845ba6cddd94bda","2026-08-01T12:58:27.890000","2026-08-01T12:58:27.890000","service_e26771ba-23cc-4ede-86d3-c06393e82682","service+e26771ba-23cc-4ede-86d3-c06393e82682@no-reply.base44.com","false"
"Δεν βρέθηκε εγγραφή με αυτό το ID","013995","kanali_a4","6a6de41a50ca2a5a619014af","2026-08-01T12:18:34.713000","2026-08-01T12:18:34.713000","service_e26771ba-23cc-4ede-86d3-c06393e82682","service+e26771ba-23cc-4ede-86d3-c06393e82682@no-reply.base44.com","false"
