"voted_no","symbol","total","voted_yes","updated_at","dataset_id","id","created_date","updated_date","created_by_id","created_by","is_sample"
"5","Ο","14","9","2026-08-01T16:22:06.196Z","6a6d45b9c01f3b3d4dd2effa","6a6e1d41796bfbba263af096","2026-08-01T16:22:25.548000","2026-08-01T16:22:25.548000","service_e26771ba-23cc-4ede-86d3-c06393e82682","service+e26771ba-23cc-4ede-86d3-c06393e82682@no-reply.base44.com","false"
"12","Ε","13","1","2026-08-01T16:22:06.196Z","6a6d45b9c01f3b3d4dd2effa","6a6e1d41471ae90b34f21714","2026-08-01T16:22:25.345000","2026-08-01T16:22:25.345000","service_e26771ba-23cc-4ede-86d3-c06393e82682","service+e26771ba-23cc-4ede-86d3-c06393e82682@no-reply.base44.com","false"
"26","Δ","28","2","2026-08-01T16:22:06.196Z","6a6d45b9c01f3b3d4dd2effa","6a6e1d41610a6b51dcac2522","2026-08-01T16:22:25.155000","2026-08-01T16:22:25.155000","service_e26771ba-23cc-4ede-86d3-c06393e82682","service+e26771ba-23cc-4ede-86d3-c06393e82682@no-reply.base44.com","false"
"125","Σ","545","420","2026-08-01T16:22:06.196Z","6a6d45b9c01f3b3d4dd2effa","6a6e1d40fc28c9fd4247670f","2026-08-01T16:22:24.939000","2026-08-01T16:22:24.939000","service_e26771ba-23cc-4ede-86d3-c06393e82682","service+e26771ba-23cc-4ede-86d3-c06393e82682@no-reply.base44.com","false"
"133","'-","139","6","2026-08-01T16:22:06.196Z","6a6d45b9c01f3b3d4dd2effa","6a6e1d40b886b6f5519187f7","2026-08-01T16:22:24.741000","2026-08-01T16:22:24.741000","service_e26771ba-23cc-4ede-86d3-c06393e82682","service+e26771ba-23cc-4ede-86d3-c06393e82682@no-reply.base44.com","false"
"673","(Κενό)","1116","443","2026-08-01T16:22:06.196Z","6a6d45b9c01f3b3d4dd2effa","6a6e1d40d2f8120d3e912ee0","2026-08-01T16:22:24.526000","2026-08-01T16:22:24.526000","service_e26771ba-23cc-4ede-86d3-c06393e82682","service+e26771ba-23cc-4ede-86d3-c06393e82682@no-reply.base44.com","false"
"62","Χ","133","71","2026-08-01T16:22:06.196Z","6a6d45b9c01f3b3d4dd2effa","6a6e1d40c3415966711fbb92","2026-08-01T16:22:24.199000","2026-08-01T16:22:24.199000","service_e26771ba-23cc-4ede-86d3-c06393e82682","service+e26771ba-23cc-4ede-86d3-c06393e82682@no-reply.base44.com","false"
"286","Π","453","167","2026-08-01T16:22:06.196Z","6a6d45b9c01f3b3d4dd2effa","6a6e1d3f414e01f3da126737","2026-08-01T16:22:23.988000","2026-08-01T16:22:23.988000","service_e26771ba-23cc-4ede-86d3-c06393e82682","service+e26771ba-23cc-4ede-86d3-c06393e82682@no-reply.base44.com","false"
"13","Ε","13","0","2026-07-31T22:08:01.982Z","6a6d07bccfd16055e17fd2a3","6a6d1cdeeee5023bab9fdf84","2026-07-31T22:08:30.872000","2026-07-31T22:08:30.872000","service_e26771ba-23cc-4ede-86d3-c06393e82682","service+e26771ba-23cc-4ede-86d3-c06393e82682@no-reply.base44.com","false"
"14","Ο","14","0","2026-07-31T22:08:01.982Z","6a6d07bccfd16055e17fd2a3","6a6d1cde786af018526b33f5","2026-07-31T22:08:30.545000","2026-07-31T22:08:30.545000","service_e26771ba-23cc-4ede-86d3-c06393e82682","service+e26771ba-23cc-4ede-86d3-c06393e82682@no-reply.base44.com","false"
"28","Δ","28","0","2026-07-31T22:08:01.982Z","6a6d07bccfd16055e17fd2a3","6a6d1cdecc8c4b08361c23a1","2026-07-31T22:08:30.321000","2026-07-31T22:08:30.321000","service_e26771ba-23cc-4ede-86d3-c06393e82682","service+e26771ba-23cc-4ede-86d3-c06393e82682@no-reply.base44.com","false"
"128","Χ","128","0","2026-07-31T22:08:01.982Z","6a6d07bccfd16055e17fd2a3","6a6d1cdefabfcd0998e17c30","2026-07-31T22:08:30.121000","2026-07-31T22:08:30.121000","service_e26771ba-23cc-4ede-86d3-c06393e82682","service+e26771ba-23cc-4ede-86d3-c06393e82682@no-reply.base44.com","false"
"1121","(Κενό)","1121","0","2026-07-31T22:08:01.982Z","6a6d07bccfd16055e17fd2a3","6a6d1cddad6b3d41e8f4e4ce","2026-07-31T22:08:29.871000","2026-07-31T22:08:29.871000","service_e26771ba-23cc-4ede-86d3-c06393e82682","service+e26771ba-23cc-4ede-86d3-c06393e82682@no-reply.base44.com","false"
"139","'-","139","0","2026-07-31T22:08:01.982Z","6a6d07bccfd16055e17fd2a3","6a6d1cddd7fd5d6138b3fa34","2026-07-31T22:08:29.663000","2026-07-31T22:08:29.663000","service_e26771ba-23cc-4ede-86d3-c06393e82682","service+e26771ba-23cc-4ede-86d3-c06393e82682@no-reply.base44.com","false"
"453","Π","453","0","2026-07-31T22:08:01.982Z","6a6d07bccfd16055e17fd2a3","6a6d1cdd9b0c6343fc62dbb3","2026-07-31T22:08:29.463000","2026-07-31T22:08:29.463000","service_e26771ba-23cc-4ede-86d3-c06393e82682","service+e26771ba-23cc-4ede-86d3-c06393e82682@no-reply.base44.com","false"
"545","Σ","545","0","2026-07-31T22:08:01.982Z","6a6d07bccfd16055e17fd2a3","6a6d1cddcbaf3b4f7e085275","2026-07-31T22:08:29.229000","2026-07-31T22:08:29.229000","service_e26771ba-23cc-4ede-86d3-c06393e82682","service+e26771ba-23cc-4ede-86d3-c06393e82682@no-reply.base44.com","false"
