"symbol","total","updated_at","dataset_id","admission_year","voted_no","voted_yes","id","created_date","updated_date","created_by_id","created_by","is_sample"
"(Κενό)","1","2026-08-01T16:22:06.196Z","6a6d45b9c01f3b3d4dd2effa","201701","1","0","6a6e1d593a2f9402dc538d61","2026-08-01T16:22:49.603000","2026-08-01T16:22:49.603000","service_e26771ba-23cc-4ede-86d3-c06393e82682","service+e26771ba-23cc-4ede-86d3-c06393e82682@no-reply.base44.com","false"
"Σ","1","2026-08-01T16:22:06.196Z","6a6d45b9c01f3b3d4dd2effa","2026","0","1","6a6e1d59796bfbba263af0a1","2026-08-01T16:22:49.393000","2026-08-01T16:22:49.393000","service_e26771ba-23cc-4ede-86d3-c06393e82682","service+e26771ba-23cc-4ede-86d3-c06393e82682@no-reply.base44.com","false"
"Π","1","2026-08-01T16:22:06.196Z","6a6d45b9c01f3b3d4dd2effa","2015","0","1","6a6e1d5900c08e7d7c326aa9","2026-08-01T16:22:49.187000","2026-08-01T16:22:49.187000","service_e26771ba-23cc-4ede-86d3-c06393e82682","service+e26771ba-23cc-4ede-86d3-c06393e82682@no-reply.base44.com","false"
"Ε","1","2026-08-01T16:22:06.196Z","6a6d45b9c01f3b3d4dd2effa","2025","1","0","6a6e1d58fc6a43bbf20e001d","2026-08-01T16:22:48.979000","2026-08-01T16:22:48.979000","service_e26771ba-23cc-4ede-86d3-c06393e82682","service+e26771ba-23cc-4ede-86d3-c06393e82682@no-reply.base44.com","false"
"Χ","1","2026-08-01T16:22:06.196Z","6a6d45b9c01f3b3d4dd2effa","2015","1","0","6a6e1d58817ade52a179ee2f","2026-08-01T16:22:48.747000","2026-08-01T16:22:48.747000","service_e26771ba-23cc-4ede-86d3-c06393e82682","service+e26771ba-23cc-4ede-86d3-c06393e82682@no-reply.base44.com","false"
"'-","1","2026-08-01T16:22:06.196Z","6a6d45b9c01f3b3d4dd2effa","201909","1","0","6a6e1d58cebcd52424591848","2026-08-01T16:22:48.496000","2026-08-01T16:22:48.496000","service_e26771ba-23cc-4ede-86d3-c06393e82682","service+e26771ba-23cc-4ede-86d3-c06393e82682@no-reply.base44.com","false"
"'-","2","2026-08-01T16:22:06.196Z","6a6d45b9c01f3b3d4dd2effa","2017","2","0","6a6e1d588b66a0d6699ac709","2026-08-01T16:22:48.135000","2026-08-01T16:22:48.135000","service_e26771ba-23cc-4ede-86d3-c06393e82682","service+e26771ba-23cc-4ede-86d3-c06393e82682@no-reply.base44.com","false"
"Σ","7","2026-08-01T16:22:06.196Z","6a6d45b9c01f3b3d4dd2effa","2017","1","6","6a6e1d57df392780f1878820","2026-08-01T16:22:47.911000","2026-08-01T16:22:47.911000","service_e26771ba-23cc-4ede-86d3-c06393e82682","service+e26771ba-23cc-4ede-86d3-c06393e82682@no-reply.base44.com","false"
"'-","1","2026-08-01T16:22:06.196Z","6a6d45b9c01f3b3d4dd2effa","2015","1","0","6a6e1d57c559dd265c549561","2026-08-01T16:22:47.699000","2026-08-01T16:22:47.699000","service_e26771ba-23cc-4ede-86d3-c06393e82682","service+e26771ba-23cc-4ede-86d3-c06393e82682@no-reply.base44.com","false"
"Χ","3","2026-08-01T16:22:06.196Z","6a6d45b9c01f3b3d4dd2effa","2025","1","2","6a6e1d57677c2e671198c3ea","2026-08-01T16:22:47.477000","2026-08-01T16:22:47.477000","service_e26771ba-23cc-4ede-86d3-c06393e82682","service+e26771ba-23cc-4ede-86d3-c06393e82682@no-reply.base44.com","false"
"Π","6","2026-08-01T16:22:06.196Z","6a6d45b9c01f3b3d4dd2effa","2019","3","3","6a6e1d574fcdc60245bad248","2026-08-01T16:22:47.275000","2026-08-01T16:22:47.275000","service_e26771ba-23cc-4ede-86d3-c06393e82682","service+e26771ba-23cc-4ede-86d3-c06393e82682@no-reply.base44.com","false"
"'-","9","2026-08-01T16:22:06.196Z","6a6d45b9c01f3b3d4dd2effa","2024","7","2","6a6e1d5770b34455bf685a53","2026-08-01T16:22:47.078000","2026-08-01T16:22:47.078000","service_e26771ba-23cc-4ede-86d3-c06393e82682","service+e26771ba-23cc-4ede-86d3-c06393e82682@no-reply.base44.com","false"
"Σ","10","2026-08-01T16:22:06.196Z","6a6d45b9c01f3b3d4dd2effa","2018","1","9","6a6e1d56856426ed1bc816a9","2026-08-01T16:22:46.848000","2026-08-01T16:22:46.848000","service_e26771ba-23cc-4ede-86d3-c06393e82682","service+e26771ba-23cc-4ede-86d3-c06393e82682@no-reply.base44.com","false"
"Δ","2","2026-08-01T16:22:06.196Z","6a6d45b9c01f3b3d4dd2effa","2022","2","0","6a6e1d5695d4737ef9e98db9","2026-08-01T16:22:46.628000","2026-08-01T16:22:46.628000","service_e26771ba-23cc-4ede-86d3-c06393e82682","service+e26771ba-23cc-4ede-86d3-c06393e82682@no-reply.base44.com","false"
"Ο","2","2026-08-01T16:22:06.196Z","6a6d45b9c01f3b3d4dd2effa","2023","0","2","6a6e1d569823adf231de2e46","2026-08-01T16:22:46.313000","2026-08-01T16:22:46.313000","service_e26771ba-23cc-4ede-86d3-c06393e82682","service+e26771ba-23cc-4ede-86d3-c06393e82682@no-reply.base44.com","false"
"Σ","1","2026-08-01T16:22:06.196Z","6a6d45b9c01f3b3d4dd2effa","201609","0","1","6a6e1d56692dbb026287fc18","2026-08-01T16:22:46.119000","2026-08-01T16:22:46.119000","service_e26771ba-23cc-4ede-86d3-c06393e82682","service+e26771ba-23cc-4ede-86d3-c06393e82682@no-reply.base44.com","false"
"Π","1","2026-08-01T16:22:06.196Z","6a6d45b9c01f3b3d4dd2effa","ΙΣΑ","1","0","6a6e1d5599b73fbc06a9b6a4","2026-08-01T16:22:45.833000","2026-08-01T16:22:45.833000","service_e26771ba-23cc-4ede-86d3-c06393e82682","service+e26771ba-23cc-4ede-86d3-c06393e82682@no-reply.base44.com","false"
"'-","7","2026-08-01T16:22:06.196Z","6a6d45b9c01f3b3d4dd2effa","2019","7","0","6a6e1d55c6587c23f6b49569","2026-08-01T16:22:45.617000","2026-08-01T16:22:45.617000","service_e26771ba-23cc-4ede-86d3-c06393e82682","service+e26771ba-23cc-4ede-86d3-c06393e82682@no-reply.base44.com","false"
"Δ","13","2026-08-01T16:22:06.196Z","6a6d45b9c01f3b3d4dd2effa","(Άγνωστο)","12","1","6a6e1d55c7838213223dddca","2026-08-01T16:22:45.406000","2026-08-01T16:22:45.406000","service_e26771ba-23cc-4ede-86d3-c06393e82682","service+e26771ba-23cc-4ede-86d3-c06393e82682@no-reply.base44.com","false"
